detection_model,metric,model,correlation,pvalue,significant
microsoft/deberta-v3-small,MATTR,mistral,0.09743921913749864,0.7195975769836028,False
microsoft/deberta-v3-small,MATTR,deepseek,0.2902379018381006,0.2755075190968392,False
microsoft/deberta-v3-small,MATTR,llama3.3,0.27546152260672346,0.3017818963952526,False
microsoft/deberta-v3-small,MATTR,qwen72b,-0.0976854959320048,0.718915619510577,False
microsoft/deberta-v3-small,MATTR,qwen32b,0.10539894762833812,0.6976594320346787,False
microsoft/deberta-v3-small,MATTR,qwen14b,0.03540437816744012,0.8964323125412332,False
microsoft/deberta-v3-small,MATTR,solar,0.06452832749937143,0.8123292424265235,False
microsoft/deberta-v3-small,L_MATTR,mistral,0.03697935886517578,0.8918496838027117,False
microsoft/deberta-v3-small,L_MATTR,deepseek,0.2883839384780974,0.27872547636031797,False
microsoft/deberta-v3-small,L_MATTR,llama3.3,0.27716425492188584,0.2986812689044912,False
microsoft/deberta-v3-small,L_MATTR,qwen72b,-0.06721185612678077,0.8046621724698886,False
microsoft/deberta-v3-small,L_MATTR,qwen32b,-0.013004991533886012,0.9618742358009195,False
microsoft/deberta-v3-small,L_MATTR,qwen14b,-0.03578923981577936,0.8953122145125142,False
microsoft/deberta-v3-small,L_MATTR,solar,0.08990881330566029,0.7405433496794102,False
microsoft/deberta-v3-small,LEX_DEN,mistral,-0.1607600238099387,0.5519986343333988,False
microsoft/deberta-v3-small,LEX_DEN,deepseek,-0.36755774727525875,0.16134197101079006,False
microsoft/deberta-v3-small,LEX_DEN,llama3.3,0.05959702804362976,0.826459674633552,False
microsoft/deberta-v3-small,LEX_DEN,qwen72b,0.3363094759392009,0.20280209107618966,False
microsoft/deberta-v3-small,LEX_DEN,qwen32b,-0.267710304015608,0.31613569193637603,False
microsoft/deberta-v3-small,LEX_DEN,qwen14b,-0.2543114619359975,0.3418664545106913,False
microsoft/deberta-v3-small,LEX_DEN,solar,-0.04222480630798428,0.8766111870025677,False
microsoft/deberta-v3-small,UNIQUE_WORDS,mistral,0.16871518675366795,0.5322198119996038,False
microsoft/deberta-v3-small,UNIQUE_WORDS,deepseek,0.14732658940677495,0.5861048455854152,False
microsoft/deberta-v3-small,UNIQUE_WORDS,llama3.3,0.21848642789818903,0.41624923357048454,False
microsoft/deberta-v3-small,UNIQUE_WORDS,qwen72b,0.12405730524156311,0.6471309609987457,False
microsoft/deberta-v3-small,UNIQUE_WORDS,qwen32b,-0.0360370593827177,0.8945910605605087,False
microsoft/deberta-v3-small,UNIQUE_WORDS,qwen14b,0.14775234957888708,0.5850107082219062,False
microsoft/deberta-v3-small,UNIQUE_WORDS,solar,0.013395273457351756,0.9607308844697504,False
microsoft/deberta-v3-small,FLESCH,mistral,0.2577036942588733,0.33524269135463,False
microsoft/deberta-v3-small,FLESCH,deepseek,0.4170935164684677,0.10798890725818347,False
microsoft/deberta-v3-small,FLESCH,llama3.3,0.29086884788827905,0.2744175309333308,False
microsoft/deberta-v3-small,FLESCH,qwen72b,-0.10758822652109681,0.6916637998217883,False
microsoft/deberta-v3-small,FLESCH,qwen32b,0.2419514167256069,0.3666222431180273,False
microsoft/deberta-v3-small,FLESCH,qwen14b,0.27235734314968707,0.30748324843077085,False
microsoft/deberta-v3-small,FLESCH,solar,0.05206471530247565,0.8481385456561158,False
microsoft/deberta-v3-small,GUNNING_FOG,mistral,-0.2903168992861985,0.27537090397039027,False
microsoft/deberta-v3-small,GUNNING_FOG,deepseek,-0.397400800682401,0.12744810212936142,False
microsoft/deberta-v3-small,GUNNING_FOG,llama3.3,-0.38875646710586864,0.13670895790382728,False
microsoft/deberta-v3-small,GUNNING_FOG,qwen72b,-0.15564345652627654,0.56488656383249,False
microsoft/deberta-v3-small,GUNNING_FOG,qwen32b,-0.22179303836837805,0.4090515065566391,False
microsoft/deberta-v3-small,GUNNING_FOG,qwen14b,-0.2854176331115614,0.28392114160871107,False
microsoft/deberta-v3-small,GUNNING_FOG,solar,-0.12780136088585609,0.6371553121529079,False
microsoft/deberta-v3-small,AVG_SENT_LEN,mistral,-0.10624464176037453,0.6953413761292377,False
microsoft/deberta-v3-small,AVG_SENT_LEN,deepseek,-0.35267951485701965,0.18030428379381447,False
microsoft/deberta-v3-small,AVG_SENT_LEN,llama3.3,-0.3504826036825409,0.1832234249826383,False
microsoft/deberta-v3-small,AVG_SENT_LEN,qwen72b,-0.27166769914079814,0.3087584302049976,False
microsoft/deberta-v3-small,AVG_SENT_LEN,qwen32b,-0.1126586955083635,0.6778439037535818,False
microsoft/deberta-v3-small,AVG_SENT_LEN,qwen14b,0.06389776784275167,0.814133152410075,False
microsoft/deberta-v3-small,AVG_SENT_LEN,solar,0.07883887520037879,0.7716432525234939,False
microsoft/deberta-v3-small,LONG_SENTS,mistral,0.22242682983228967,0.40767944778326803,False
microsoft/deberta-v3-small,LONG_SENTS,deepseek,0.1622193076209597,0.5483465784914487,False
microsoft/deberta-v3-small,LONG_SENTS,llama3.3,0.27765715484763676,0.29778725027898645,False
microsoft/deberta-v3-small,LONG_SENTS,qwen72b,-0.19704025018186494,0.4645071600042018,False
microsoft/deberta-v3-small,LONG_SENTS,qwen32b,-0.16798441970234285,0.5340233103729795,False
microsoft/deberta-v3-small,LONG_SENTS,qwen14b,0.27246672856226406,0.30728127491149804,False
microsoft/deberta-v3-small,LONG_SENTS,solar,-0.007167958962793999,0.9789812802702239,False
microsoft/deberta-v3-small,SHORT_SENTS,mistral,0.10009478095635235,0.7122546948620824,False
microsoft/deberta-v3-small,SHORT_SENTS,deepseek,0.17884003042928748,0.5075182405476787,False
microsoft/deberta-v3-small,SHORT_SENTS,llama3.3,0.1893545758642678,0.4824465101172762,False
microsoft/deberta-v3-small,SHORT_SENTS,qwen72b,-0.16299068595372274,0.5464203934030631,False
microsoft/deberta-v3-small,SHORT_SENTS,qwen32b,0.09756478797172352,0.7192498433939041,False
microsoft/deberta-v3-small,SHORT_SENTS,qwen14b,-0.008544298650441096,0.9749465011194478,False
microsoft/deberta-v3-small,SHORT_SENTS,solar,-0.06806218130705616,0.802236164967891,False
microsoft/deberta-v3-small,SENT_LEN_STD,mistral,0.15598277160481142,0.5640279145133518,False
microsoft/deberta-v3-small,SENT_LEN_STD,deepseek,-0.07441598049544744,0.784163485595112,False
microsoft/deberta-v3-small,SENT_LEN_STD,llama3.3,0.3127411083178882,0.23825279198147079,False
microsoft/deberta-v3-small,SENT_LEN_STD,qwen72b,0.11343072065980453,0.6757479932168994,False
microsoft/deberta-v3-small,SENT_LEN_STD,qwen32b,-0.08048787866503736,0.7669886046366714,False
microsoft/deberta-v3-small,SENT_LEN_STD,qwen14b,0.09429275292177389,0.7283276527228268,False
microsoft/deberta-v3-small,SENT_LEN_STD,solar,0.2497105469763352,0.350968062573468,False
microsoft/deberta-v3-small,len_in_characters,mistral,0.1830968992284639,0.4972952844082975,False
microsoft/deberta-v3-small,len_in_characters,deepseek,0.1152725277180091,0.6707568463831213,False
microsoft/deberta-v3-small,len_in_characters,llama3.3,0.22361373265854922,0.4051165550120032,False
microsoft/deberta-v3-small,len_in_characters,qwen72b,0.38882132398247593,0.1366378076860679,False
microsoft/deberta-v3-small,len_in_characters,qwen32b,-0.11713823933232677,0.6657140432162019,False
microsoft/deberta-v3-small,len_in_characters,qwen14b,0.16584312055292622,0.5393236575135899,False
microsoft/deberta-v3-small,len_in_characters,solar,0.00965747863161339,0.9716835943896802,False
microsoft/deberta-v3-small,polarity,mistral,0.3097919685037284,0.24294528746232924,False
microsoft/deberta-v3-small,polarity,deepseek,0.1485935468624916,0.5828514452093377,False
microsoft/deberta-v3-small,polarity,llama3.3,0.3568628008467918,0.17483093491535404,False
microsoft/deberta-v3-small,polarity,qwen72b,0.0720183290548721,0.7909717088737691,False
microsoft/deberta-v3-small,polarity,qwen32b,0.28086929939779337,0.2920000346585937,False
microsoft/deberta-v3-small,polarity,qwen14b,0.3917026294249754,0.13350245853382256,False
microsoft/deberta-v3-small,polarity,solar,0.1815194219836778,0.5010722255433011,False
microsoft/deberta-v3-small,subjectivity,mistral,0.10306366282926692,0.7040734441867943,False
microsoft/deberta-v3-small,subjectivity,deepseek,0.3104201852986169,0.24194090849859068,False
microsoft/deberta-v3-small,subjectivity,llama3.3,0.24095906212627144,0.3686517748590233,False
microsoft/deberta-v3-small,subjectivity,qwen72b,-0.367194771325016,0.16178797051063215,False
microsoft/deberta-v3-small,subjectivity,qwen32b,0.2942235256914826,0.2686661650771877,False
microsoft/deberta-v3-small,subjectivity,qwen14b,-0.07990452564068425,0.76863439239062,False
microsoft/deberta-v3-small,subjectivity,solar,0.038272450382702876,0.8880896421207816,False
microsoft/deberta-v3-small,POS_VERB,mistral,0.06357903911585204,0.8150453078516015,False
microsoft/deberta-v3-small,POS_VERB,deepseek,0.30940915138513747,0.24355860081949826,False
microsoft/deberta-v3-small,POS_VERB,llama3.3,-0.20948265516794376,0.43618054007843116,False
microsoft/deberta-v3-small,POS_VERB,qwen72b,-0.29211850614889145,0.2722664205256862,False
microsoft/deberta-v3-small,POS_VERB,qwen32b,0.13611357987343503,0.6152178455952567,False
microsoft/deberta-v3-small,POS_VERB,qwen14b,0.06859621592059069,0.8007134093086297,False
microsoft/deberta-v3-small,POS_VERB,solar,-0.036972302880860335,0.8918702071365091,False
microsoft/deberta-v3-small,POS_NOUN,mistral,-0.2893843507594188,0.2769862351067896,False
microsoft/deberta-v3-small,POS_NOUN,deepseek,-0.38608916287527634,0.13965709190455688,False
microsoft/deberta-v3-small,POS_NOUN,llama3.3,-0.2506760609044462,0.3490468618348264,False
microsoft/deberta-v3-small,POS_NOUN,qwen72b,0.07871532987279933,0.7719922805975046,False
microsoft/deberta-v3-small,POS_NOUN,qwen32b,-0.016765128938457746,0.9508619210404076,False
microsoft/deberta-v3-small,POS_NOUN,qwen14b,-0.28465558135842145,0.2852652542309825,False
microsoft/deberta-v3-small,POS_NOUN,solar,0.16874108716627653,0.5321559413194586,False
