detection_model,metric,dataset,correlation,pvalue,significant
microsoft/deberta-v3-small,MATTR,abstracts,-0.5443008265851059,5.2825732578679634e-05,True
microsoft/deberta-v3-small,MATTR,news,-0.46558568099771747,0.0007486380021591283,True
microsoft/deberta-v3-small,MATTR,reviews,-0.5381183010193555,6.665489347697995e-05,True
microsoft/deberta-v3-small,MATTR,qa,-0.5050447127116691,0.00021479351987906993,True
microsoft/deberta-v3-small,L_MATTR,abstracts,-0.5331367468154624,8.012694540395358e-05,True
microsoft/deberta-v3-small,L_MATTR,news,-0.46000624741177654,0.0008827238247879226,True
microsoft/deberta-v3-small,L_MATTR,reviews,-0.592201581503369,7.385810911872682e-06,True
microsoft/deberta-v3-small,L_MATTR,qa,-0.5067525558161925,0.00020278646665295672,True
microsoft/deberta-v3-small,LEX_DEN,abstracts,-0.4801316591800039,0.0004807667114120481,True
microsoft/deberta-v3-small,LEX_DEN,news,-0.3881148775971395,0.0058584659786246815,True
microsoft/deberta-v3-small,LEX_DEN,reviews,-0.41452755959598275,0.0030637266502738605,True
microsoft/deberta-v3-small,LEX_DEN,qa,-0.2926450495686128,0.04129619050714701,True
microsoft/deberta-v3-small,UNIQUE_WORDS,abstracts,0.024192138478281167,0.8689460708789575,False
microsoft/deberta-v3-small,UNIQUE_WORDS,news,0.048478248780201794,0.7408091859737146,False
microsoft/deberta-v3-small,UNIQUE_WORDS,reviews,-0.4672673765888714,0.0007119785634690476,True
microsoft/deberta-v3-small,UNIQUE_WORDS,qa,-0.5850595404511982,1.0103011087387457e-05,True
microsoft/deberta-v3-small,FLESCH,abstracts,0.42918177037702976,0.0020899004937814936,True
microsoft/deberta-v3-small,FLESCH,news,0.3991361172559629,0.004498047634670917,True
microsoft/deberta-v3-small,FLESCH,reviews,0.6591558445046197,2.6068915486672793e-07,True
microsoft/deberta-v3-small,FLESCH,qa,0.4948922475912694,0.00030050316898542454,True
microsoft/deberta-v3-small,GUNNING_FOG,abstracts,-0.36215257532883327,0.01055564037082103,True
microsoft/deberta-v3-small,GUNNING_FOG,news,-0.4192336967714305,0.0027145375194732235,True
microsoft/deberta-v3-small,GUNNING_FOG,reviews,-0.6626416983567662,2.140567079905024e-07,True
microsoft/deberta-v3-small,GUNNING_FOG,qa,-0.4761446719700905,0.0005438782444507297,True
microsoft/deberta-v3-small,AVG_SENT_LEN,abstracts,-0.1484104298258503,0.3088187055592015,False
microsoft/deberta-v3-small,AVG_SENT_LEN,news,-0.3819459030738699,0.006766640809680139,True
microsoft/deberta-v3-small,AVG_SENT_LEN,reviews,-0.654962853267883,3.2932225676763586e-07,True
microsoft/deberta-v3-small,AVG_SENT_LEN,qa,-0.44581527529384296,0.0013257767469528213,True
microsoft/deberta-v3-small,LONG_SENTS,abstracts,-0.09400040896281543,0.5205867303723979,False
microsoft/deberta-v3-small,LONG_SENTS,news,-0.2051355207846141,0.15737157662244103,False
microsoft/deberta-v3-small,LONG_SENTS,reviews,-0.5870090032497418,9.281852894366021e-06,True
microsoft/deberta-v3-small,LONG_SENTS,qa,-0.5362957484739763,7.132258161202583e-05,True
microsoft/deberta-v3-small,SHORT_SENTS,abstracts,-0.4108543539033444,0.0033632217124080974,True
microsoft/deberta-v3-small,SHORT_SENTS,news,0.2910612587889601,0.042458854685341385,True
microsoft/deberta-v3-small,SHORT_SENTS,reviews,0.6544412197209349,3.3895206495400307e-07,True
microsoft/deberta-v3-small,SHORT_SENTS,qa,0.4061882525481062,0.0037806694596236967,True
microsoft/deberta-v3-small,SENT_LEN_STD,abstracts,-0.31975967810058814,0.025110642072305407,True
microsoft/deberta-v3-small,SENT_LEN_STD,news,-0.289373174810479,0.04372743283903848,True
microsoft/deberta-v3-small,SENT_LEN_STD,reviews,-0.550489636881151,4.166303671072334e-05,True
microsoft/deberta-v3-small,SENT_LEN_STD,qa,-0.47697220726187284,0.0005301962958101884,True
microsoft/deberta-v3-small,len_in_characters,abstracts,-0.037956372134133776,0.7956901037000105,False
microsoft/deberta-v3-small,len_in_characters,news,-0.07304643785144391,0.6179257241248479,False
microsoft/deberta-v3-small,len_in_characters,reviews,-0.5321238934673151,8.315349761156951e-05,True
microsoft/deberta-v3-small,len_in_characters,qa,-0.5844613573488289,1.0368120566761193e-05,True
microsoft/deberta-v3-small,polarity,abstracts,0.1265855281363338,0.38609663751596485,False
microsoft/deberta-v3-small,polarity,news,0.3266272082954323,0.021987228306855535,True
microsoft/deberta-v3-small,polarity,reviews,0.5682065358754567,2.0561456035775916e-05,True
microsoft/deberta-v3-small,polarity,qa,-0.3608468500023777,0.010859770390870547,True
microsoft/deberta-v3-small,subjectivity,abstracts,-0.2887739860081882,0.04418509693333056,True
