detection_model,metric,model,correlation,pvalue,significant
microsoft/deberta-v3-small,MATTR,mistral,-0.3945082968363526,9.94235927493118e-07,True
microsoft/deberta-v3-small,MATTR,deepseek,0.1453298186511986,0.08221116846357679,False
microsoft/deberta-v3-small,MATTR,llama3.3,-0.016910510829566475,0.8405641429383013,False
microsoft/deberta-v3-small,MATTR,qwen72b,0.03442277105757294,0.6821033776454024,False
microsoft/deberta-v3-small,MATTR,qwen32b,0.058866811273569075,0.48339460027243975,False
microsoft/deberta-v3-small,MATTR,qwen14b,0.11168036658322,0.18264429007069344,False
microsoft/deberta-v3-small,MATTR,solar,-0.16788102629801926,0.04429242747449431,True
microsoft/deberta-v3-small,L_MATTR,mistral,-0.33267610217578114,4.6216440547584753e-05,True
microsoft/deberta-v3-small,L_MATTR,deepseek,0.11668833546506294,0.1636745047046519,False
microsoft/deberta-v3-small,L_MATTR,llama3.3,0.03281878804361013,0.6961680920717012,False
microsoft/deberta-v3-small,L_MATTR,qwen72b,0.0033511085754293693,0.9682023994870328,False
microsoft/deberta-v3-small,L_MATTR,qwen32b,-0.03250258896218064,0.698953146942755,False
microsoft/deberta-v3-small,L_MATTR,qwen14b,0.04725504809174533,0.5738212093481884,False
microsoft/deberta-v3-small,L_MATTR,solar,-0.18498383818231134,0.026442376280848567,True
microsoft/deberta-v3-small,LEX_DEN,mistral,0.20991546885300405,0.011562175066708725,True
microsoft/deberta-v3-small,LEX_DEN,deepseek,0.022964566423697062,0.7846924996797799,False
microsoft/deberta-v3-small,LEX_DEN,llama3.3,0.15448163260201545,0.06449577351918598,False
microsoft/deberta-v3-small,LEX_DEN,qwen72b,-0.08259171065977193,0.3250440889950558,False
microsoft/deberta-v3-small,LEX_DEN,qwen32b,-0.15631655035501288,0.061349424003494815,False
microsoft/deberta-v3-small,LEX_DEN,qwen14b,-0.1267868582326298,0.12994972934977925,False
microsoft/deberta-v3-small,LEX_DEN,solar,-0.10569752061792748,0.20736254340224033,False
microsoft/deberta-v3-small,UNIQUE_WORDS,mistral,0.26882846066148747,0.0011219423731889723,True
microsoft/deberta-v3-small,UNIQUE_WORDS,deepseek,0.01340521089047305,0.8733003987055944,False
microsoft/deberta-v3-small,UNIQUE_WORDS,llama3.3,-0.024261859155653445,0.772851235601281,False
microsoft/deberta-v3-small,UNIQUE_WORDS,qwen72b,-0.007065646827960391,0.9330168001234174,False
microsoft/deberta-v3-small,UNIQUE_WORDS,qwen32b,-0.0770036640396787,0.35895741481920573,False
microsoft/deberta-v3-small,UNIQUE_WORDS,qwen14b,-0.14533780052695486,0.08219416932316362,False
microsoft/deberta-v3-small,UNIQUE_WORDS,solar,0.06342052677144416,0.45014449968729975,False
microsoft/deberta-v3-small,FLESCH,mistral,-0.09365624611074205,0.2641927618547961,False
microsoft/deberta-v3-small,FLESCH,deepseek,-0.12978403458586035,0.12104558824957919,False
microsoft/deberta-v3-small,FLESCH,llama3.3,0.22077708867738377,0.007834259981424797,True
microsoft/deberta-v3-small,FLESCH,qwen72b,0.046263655816605825,0.5818939616847226,False
microsoft/deberta-v3-small,FLESCH,qwen32b,-0.048007246693970135,0.5677314217136997,False
microsoft/deberta-v3-small,FLESCH,qwen14b,0.02979995962061685,0.7229180098596103,False
microsoft/deberta-v3-small,FLESCH,solar,0.01971150392187351,0.8145973753425049,False
microsoft/deberta-v3-small,GUNNING_FOG,mistral,-0.03130443038345099,0.7095425694319353,False
microsoft/deberta-v3-small,GUNNING_FOG,deepseek,0.16209493899554156,0.05225303122467025,False
microsoft/deberta-v3-small,GUNNING_FOG,llama3.3,-0.26019378338378907,0.0016352546070426074,True
microsoft/deberta-v3-small,GUNNING_FOG,qwen72b,-0.022341658616574937,0.7903959545253646,False
microsoft/deberta-v3-small,GUNNING_FOG,qwen32b,0.04006481952696689,0.6335193848803569,False
microsoft/deberta-v3-small,GUNNING_FOG,qwen14b,-0.007458416845944574,0.9293026941175431,False
microsoft/deberta-v3-small,GUNNING_FOG,solar,-0.018927580821833982,0.8218457834147658,False
microsoft/deberta-v3-small,AVG_SENT_LEN,mistral,-0.10425718585932839,0.2136562145255872,False
microsoft/deberta-v3-small,AVG_SENT_LEN,deepseek,0.13816395810756468,0.09864717737280497,False
microsoft/deberta-v3-small,AVG_SENT_LEN,llama3.3,-0.29666807975674125,0.00030546175402186224,True
microsoft/deberta-v3-small,AVG_SENT_LEN,qwen72b,-0.005961525784023983,0.9434650469964815,False
microsoft/deberta-v3-small,AVG_SENT_LEN,qwen32b,0.08042811376890562,0.3379219438480862,False
microsoft/deberta-v3-small,AVG_SENT_LEN,qwen14b,-0.013373503246166964,0.8735975879290405,False
microsoft/deberta-v3-small,AVG_SENT_LEN,solar,0.12229429651580204,0.14422733298412946,False
microsoft/deberta-v3-small,LONG_SENTS,mistral,0.2551411704055071,0.002026949782597091,True
microsoft/deberta-v3-small,LONG_SENTS,deepseek,0.03749211618872692,0.6554952569921181,False
microsoft/deberta-v3-small,LONG_SENTS,llama3.3,-0.15218929494249822,0.0686103104839138,False
microsoft/deberta-v3-small,LONG_SENTS,qwen72b,-0.009774882269128237,0.9074313851427142,False
microsoft/deberta-v3-small,LONG_SENTS,qwen32b,-0.03215363484835219,0.7020313636612276,False
microsoft/deberta-v3-small,LONG_SENTS,qwen14b,-0.10001323410746885,0.2329900623319161,False
microsoft/deberta-v3-small,LONG_SENTS,solar,0.12608560458345838,0.13210390956827017,False
microsoft/deberta-v3-small,SHORT_SENTS,mistral,0.2757547681204959,0.0008218724108499941,True
microsoft/deberta-v3-small,SHORT_SENTS,deepseek,-0.0891800430034107,0.2878031867696302,False
microsoft/deberta-v3-small,SHORT_SENTS,llama3.3,0.3009752852848586,0.00024676390551090974,True
microsoft/deberta-v3-small,SHORT_SENTS,qwen72b,0.0037015754685531047,0.964878956076202,False
microsoft/deberta-v3-small,SHORT_SENTS,qwen32b,-0.06856880518246872,0.41414784905309276,False
microsoft/deberta-v3-small,SHORT_SENTS,qwen14b,-0.06489964881125669,0.4396268590871957,False
microsoft/deberta-v3-small,SHORT_SENTS,solar,-0.06277857106248298,0.4547528020552158,False
microsoft/deberta-v3-small,SENT_LEN_STD,mistral,0.34477622446970413,2.318783322738186e-05,True
microsoft/deberta-v3-small,SENT_LEN_STD,deepseek,-0.07342015390463455,0.381821922359462,False
microsoft/deberta-v3-small,SENT_LEN_STD,llama3.3,-0.25412149005091716,0.0021156482652324175,True
microsoft/deberta-v3-small,SENT_LEN_STD,qwen72b,-0.02520444321310833,0.7642801655494587,False
microsoft/deberta-v3-small,SENT_LEN_STD,qwen32b,-0.01827030090159614,0.8279348530605228,False
microsoft/deberta-v3-small,SENT_LEN_STD,qwen14b,-0.037926125902044694,0.6517665441394275,False
microsoft/deberta-v3-small,SENT_LEN_STD,solar,0.0921208013817329,0.2721380915399652,False
microsoft/deberta-v3-small,len_in_characters,mistral,0.27265269452141466,0.0009457501653872963,True
microsoft/deberta-v3-small,len_in_characters,deepseek,0.001464099364684751,0.9861046827268349,False
microsoft/deberta-v3-small,len_in_characters,llama3.3,-0.01686319311861123,0.8410043661195361,False
microsoft/deberta-v3-small,len_in_characters,qwen72b,-0.01108132829309445,0.8951258432591542,False
microsoft/deberta-v3-small,len_in_characters,qwen32b,-0.06850430811611836,0.4145881236038511,False
microsoft/deberta-v3-small,len_in_characters,qwen14b,-0.13069166236425966,0.11844450078862526,False
microsoft/deberta-v3-small,len_in_characters,solar,0.06718092509568196,0.4236821894341218,False
microsoft/deberta-v3-small,polarity,mistral,-0.13290941711445536,0.11227130594294915,False
microsoft/deberta-v3-small,polarity,deepseek,0.11937807078807816,0.15411286385390496,False
microsoft/deberta-v3-small,polarity,llama3.3,0.07241984040716365,0.38835885216842186,False
microsoft/deberta-v3-small,polarity,qwen72b,0.04296759282929287,0.609103475582986,False
microsoft/deberta-v3-small,polarity,qwen32b,0.045084040700005455,0.5915672131748293,False
microsoft/deberta-v3-small,polarity,qwen14b,0.1649692471748741,0.0481618523120916,True
microsoft/deberta-v3-small,polarity,solar,-0.18317778939985607,0.027977262683793337,True
microsoft/deberta-v3-small,subjectivity,mistral,-0.09942635744375859,0.23575731532109281,False
microsoft/deberta-v3-small,subjectivity,deepseek,0.03218024609219098,0.7017964476364451,False
microsoft/deberta-v3-small,subjectivity,llama3.3,-0.0684638294432892,0.41486458185628156,False
microsoft/deberta-v3-small,subjectivity,qwen72b,0.026808188684824385,0.7497630139440231,False
microsoft/deberta-v3-small,subjectivity,qwen32b,0.06963194863856079,0.40693006085904493,False
microsoft/deberta-v3-small,subjectivity,qwen14b,0.12883972767402158,0.12379849806637956,False
microsoft/deberta-v3-small,subjectivity,solar,-0.1759438368355464,0.034909270125750805,True
microsoft/deberta-v3-small,POS_VERB,mistral,-0.06764976628367138,0.42044726099525154,False
microsoft/deberta-v3-small,POS_VERB,deepseek,-0.03247293453629903,0.6992145470377932,False
microsoft/deberta-v3-small,POS_VERB,llama3.3,-0.1484543923756657,0.07576919763944595,False
microsoft/deberta-v3-small,POS_VERB,qwen72b,0.07043607398994593,0.4015204229362492,False
microsoft/deberta-v3-small,POS_VERB,qwen32b,0.04032869732828953,0.6312829207111154,False
microsoft/deberta-v3-small,POS_VERB,qwen14b,-0.06473331773882315,0.440802583710464,False
microsoft/deberta-v3-small,POS_VERB,solar,-0.26605587368129213,0.0012679284922331258,True
microsoft/deberta-v3-small,POS_NOUN,mistral,0.21911131118563804,0.0083258189730189,True
microsoft/deberta-v3-small,POS_NOUN,deepseek,-0.005066964219189521,0.9519373884484348,False
microsoft/deberta-v3-small,POS_NOUN,llama3.3,-0.04447729769327157,0.5965710130360136,False
microsoft/deberta-v3-small,POS_NOUN,qwen72b,-0.09004524364450808,0.2831331391781826,False
microsoft/deberta-v3-small,POS_NOUN,qwen32b,-0.18315267307408972,0.027999132681924964,True
microsoft/deberta-v3-small,POS_NOUN,qwen14b,-0.13221681209088462,0.1141716314850709,False
microsoft/deberta-v3-small,POS_NOUN,solar,0.011693389461357652,0.8893691754437565,False
microsoft/deberta-v3-small,POS_ADJ,mistral,-0.00872228681664522,0.9173620399226411,False
microsoft/deberta-v3-small,POS_ADJ,deepseek,0.10773123295704837,0.1987043329997132,False
microsoft/deberta-v3-small,POS_ADJ,llama3.3,-0.040767584114907426,0.627570583582665,False
microsoft/deberta-v3-small,POS_ADJ,qwen72b,-0.0411130659484292,0.6246548550266704,False
microsoft/deberta-v3-small,POS_ADJ,qwen32b,0.002909506063026257,0.972390844203039,False
microsoft/deberta-v3-small,POS_ADJ,qwen14b,0.05563875349282954,0.5077409130381275,False
microsoft/deberta-v3-small,POS_ADJ,solar,-0.22569240973549323,0.006530357536047845,True
microsoft/deberta-v3-small,POS_ADV,mistral,-0.17167537161125246,0.03964290123864459,True
microsoft/deberta-v3-small,POS_ADV,deepseek,-0.008531186201365476,0.9191663829896666,False
microsoft/deberta-v3-small,POS_ADV,llama3.3,-0.05140866075316964,0.5405826267758159,False
microsoft/deberta-v3-small,POS_ADV,qwen72b,0.07848532299754943,0.34975796497352724,False
microsoft/deberta-v3-small,POS_ADV,qwen32b,0.0877058697589149,0.29587805350959445,False
microsoft/deberta-v3-small,POS_ADV,qwen14b,0.06981091849902925,0.4057223599491715,False
microsoft/deberta-v3-small,POS_ADV,solar,-0.18938634323863957,0.02299943041329469,True
microsoft/deberta-v3-small,POS_DET,mistral,-0.04078883783172833,0.6273910439184728,False
microsoft/deberta-v3-small,POS_DET,deepseek,0.021485307852529528,0.7982549617399489,False
microsoft/deberta-v3-small,POS_DET,llama3.3,-0.07432650057549517,0.375957100624975,False
microsoft/deberta-v3-small,POS_DET,qwen72b,0.006038775252569208,0.942733704810451,False
microsoft/deberta-v3-small,POS_DET,qwen32b,0.08680957574588542,0.3008602061099835,False
microsoft/deberta-v3-small,POS_DET,qwen14b,0.10007539438626999,0.23269830350958234,False
microsoft/deberta-v3-small,POS_DET,solar,0.03502871420305992,0.6768180829227595,False
microsoft/deberta-v3-small,POS_INTJ,mistral,-0.11009773167283989,0.1889621521077299,False
microsoft/deberta-v3-small,POS_INTJ,deepseek,0.08525368809613748,0.3096393639037323,False
microsoft/deberta-v3-small,POS_INTJ,llama3.3,-0.1860081930376399,0.02560424378579823,True
microsoft/deberta-v3-small,POS_INTJ,qwen72b,0.030106147625285098,0.7201889040668019,False
microsoft/deberta-v3-small,POS_INTJ,qwen32b,0.0738195880238028,0.379230437228422,False
microsoft/deberta-v3-small,POS_INTJ,qwen14b,0.018478334217363182,0.8260064981376835,False
microsoft/deberta-v3-small,POS_INTJ,solar,-0.0018686083886023854,0.9822661696672349,False
microsoft/deberta-v3-small,POS_CONJ,mistral,-0.06726789222623727,0.42308104428190874,False
microsoft/deberta-v3-small,POS_CONJ,deepseek,0.0042010088270371115,0.960143935032287,False
microsoft/deberta-v3-small,POS_CONJ,llama3.3,-0.32550091389713376,6.864461657557441e-05,True
microsoft/deberta-v3-small,POS_CONJ,qwen72b,0.017691559675679577,0.8333048336657016,False
microsoft/deberta-v3-small,POS_CONJ,qwen32b,0.10380187060447234,0.21567383342344487,False
microsoft/deberta-v3-small,POS_CONJ,qwen14b,-0.02051609933937177,0.8071741246172,False
microsoft/deberta-v3-small,POS_CONJ,solar,0.20663558556826825,0.012958965340408343,True
microsoft/deberta-v3-small,POS_PART,mistral,-0.11318738639299686,0.17677361941891873,False
microsoft/deberta-v3-small,POS_PART,deepseek,-0.07121114334074163,0.3963468922177515,False
microsoft/deberta-v3-small,POS_PART,llama3.3,-0.03888871231221009,0.6435274487620883,False
microsoft/deberta-v3-small,POS_PART,qwen72b,0.03626950360138703,0.6660446272636983,False
microsoft/deberta-v3-small,POS_PART,qwen32b,0.07357619596410982,0.38080826176183197,False
microsoft/deberta-v3-small,POS_PART,qwen14b,0.04360665103092949,0.6037843292439291,False
microsoft/deberta-v3-small,POS_PART,solar,-0.1448783672303533,0.0831772327684945,False
microsoft/deberta-v3-small,POS_NUM,mistral,0.033189457441909424,0.6929084232038553,False
microsoft/deberta-v3-small,POS_NUM,deepseek,-0.09351711081267988,0.2649061425241801,False
microsoft/deberta-v3-small,POS_NUM,llama3.3,0.2722402662420469,0.0009634506726885689,True
microsoft/deberta-v3-small,POS_NUM,qwen72b,0.025137756830301047,0.7648856309531578,False
microsoft/deberta-v3-small,POS_NUM,qwen32b,0.013028470604142642,0.876832639957059,False
microsoft/deberta-v3-small,POS_NUM,qwen14b,0.05652711496883002,0.5009779250379613,False
microsoft/deberta-v3-small,POS_NUM,solar,0.21826396475461118,0.00858618785935064,True
microsoft/deberta-v3-small,POS_PREP,mistral,-0.04289253886933661,0.6097295320420256,False
microsoft/deberta-v3-small,POS_PREP,deepseek,0.13791369732070022,0.09926497680750233,False
microsoft/deberta-v3-small,POS_PREP,llama3.3,-0.0762033229008112,0.36398865797725366,False
microsoft/deberta-v3-small,POS_PREP,qwen72b,0.002389320431587171,0.9773255800438206,False
